no2,pm2.5,o3,pm10,datetime
19.0,19.0,64.0,27.0,2023-03-04-02:00:00
9.0,21.0,72.0,28.0,2023-03-04-03:00:00
20.0,24.0,61.0,31.0,2023-03-04-04:00:00
23.0,25.0,55.0,32.0,2023-03-04-05:00:00
20.0,25.0,60.0,30.0,2023-03-04-06:00:00
29.0,26.0,40.0,32.0,2023-03-04-07:00:00
31.0,28.0,64.58951965065502,39.0,2023-03-04-08:00:00
23.0,26.0,61.0,36.0,2023-03-04-09:00:00
14.0,19.0,80.0,26.0,2023-03-04-10:00:00
12.0,13.0,89.0,21.0,2023-03-04-11:00:00
13.0,11.0,92.0,16.0,2023-03-04-12:00:00
14.0,11.0,90.0,20.0,2023-03-04-13:00:00
15.0,9.0,92.0,17.0,2023-03-04-14:00:00
15.299382716049383,8.0,93.0,15.0,2023-03-04-15:00:00
13.0,14.0,98.0,21.0,2023-03-04-16:00:00
17.0,16.0,91.0,24.0,2023-03-04-17:00:00
30.0,18.0,75.0,28.0,2023-03-04-18:00:00
30.0,20.0,72.0,27.0,2023-03-04-19:00:00
40.0,20.0,54.0,27.0,2023-03-04-20:00:00
21.0,15.0,72.0,21.0,2023-03-04-21:00:00
23.0,14.0,71.0,19.0,2023-03-04-22:00:00
19.0,21.0,72.0,26.0,2023-03-04-23:00:00
8.0,36.0,84.0,41.0,2023-03-05-00:00:00
6.0,27.0,88.0,32.0,2023-03-05-01:00:00
6.0,25.0,90.0,30.0,2023-03-05-02:00:00
4.0,12.0,89.0,17.0,2023-03-05-03:00:00
3.0,11.0,86.0,17.0,2023-03-05-04:00:00
5.0,9.0,87.0,15.0,2023-03-05-05:00:00
5.0,8.0,85.0,14.0,2023-03-05-06:00:00
5.0,8.0,83.0,14.0,2023-03-05-07:00:00
6.0,9.0,80.0,16.0,2023-03-05-08:00:00
24.0,13.0,64.58951965065502,21.0,2023-03-05-09:00:00
12.0,13.0,76.0,20.0,2023-03-05-10:00:00
13.0,15.0,82.0,23.0,2023-03-05-11:00:00
10.0,15.0,95.0,21.0,2023-03-05-12:00:00
9.0,17.0,102.0,24.0,2023-03-05-13:00:00
8.0,29.0,103.0,36.0,2023-03-05-14:00:00
8.0,21.0,98.0,28.0,2023-03-05-15:00:00
15.299382716049383,22.0,98.0,31.0,2023-03-05-16:00:00
15.0,23.0,91.0,31.0,2023-03-05-17:00:00
13.0,21.0,86.0,28.0,2023-03-05-18:00:00
32.0,35.0,62.0,43.0,2023-03-05-19:00:00
31.0,46.0,63.0,53.0,2023-03-05-20:00:00
23.0,36.0,65.0,43.0,2023-03-05-21:00:00
10.0,25.0,84.0,32.0,2023-03-05-22:00:00
9.0,27.0,83.0,33.0,2023-03-05-23:00:00
8.0,20.0,78.0,27.0,2023-03-06-00:00:00
5.0,26.0,82.0,32.0,2023-03-06-01:00:00
5.0,16.0,80.0,22.0,2023-03-06-02:00:00
4.0,15.0,81.0,21.0,2023-03-06-03:00:00
4.0,14.0,82.0,20.0,2023-03-06-04:00:00
4.0,14.0,85.0,18.0,2023-03-06-05:00:00
6.0,15.0,84.0,20.0,2023-03-06-06:00:00
25.0,17.0,60.0,23.0,2023-03-06-07:00:00
18.0,18.0,66.0,25.0,2023-03-06-08:00:00
5.0,18.0,64.58951965065502,24.0,2023-03-06-09:00:00
