no2,pm2.5,o3,pm10,leto_od,mesec_od,dan_od,ura_od,min_od,leto_do,mesec_do,dan_do,ura_do,min_do
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
